colony	gene	allele
EPD0070_1_B01_263	Prmt1	Prmt1<tm1a(EUCOMM)Wtsi>
EPD0058_1_D07_264	NULL	NULL
EPD0070_2_G01_265	NULL	NULL
EPD0070_2_G04_266	Ldha	Ldha<tm1a(EUCOMM)Wtsi>
EPD0070_2_G09_267	Ncaph2	Ncaph2<tm1a(EUCOMM)Wtsi>
EPD0070_3_B02_268	NULL	NULL
EPD0070_3_G09_269	Lrig1	Lrig1<tm1a(EUCOMM)Wtsi>
EPD0070_4_E10_270	NULL	NULL
EPD0058_1_A11_271	Arpc4	Arpc4<tm1a(EUCOMM)Wtsi>
EPD0070_5_C01_272	Myh9	Myh9<tm1a(EUCOMM)Wtsi>
EPD0070_5_D05_273	NULL	NULL
EPD0080_1_D08_274	NULL	NULL
EPD0080_1_D11_275	NULL	NULL
EPD0080_1_H04_276	Zranb2	Zranb2<tm1a(EUCOMM)Wtsi>
EPD0087_4_A02_277	Rnaseh2b	Rnaseh2b<tm1a(EUCOMM)Wtsi>
EPD0021_1_E04_278	NULL	NULL
EPD0098_4_A01_279	NULL	NULL
EPD0102_2_B01_280	NULL	NULL
EPD0016_2_F07_281	NULL	NULL
EPD0103_2_C01_282	NULL	NULL
EPD0103_3_A11_283	NULL	NULL
EPD0103_5_A10_284	Fto	Fto<tm1a(EUCOMM)Wtsi>
G07(clone#7)_285	NULL	NULL
EPD0105_2_F10_286	Nsun2	Nsun2<tm1a(EUCOMM)Wtsi>
EPD0105_2_G01_287	NULL	NULL
EPD0105_5_A09_288	NULL	NULL
EPD0039_5_G01_289	Mecr	Mecr<tm1a(EUCOMM)Wtsi>
EPD0105_6_E08_290	Efna1	Efna1<tm1a(EUCOMM)Wtsi>
EPD0028_3_E10_291	NULL	NULL
EPD0113_4_F03_292	Sgol1	Sgol1<tm1a(EUCOMM)Wtsi>
EPD0114_2_F08_293	NULL	NULL
EPD0114_3_G12_294	Ppp5c	Ppp5c<tm1a(EUCOMM)Wtsi>
EPD0116_3_E02_295	Gap43	Gap43<tm1a(EUCOMM)Wtsi>
EPD0117_1_G06_296	NULL	NULL
EPD0126_1_E04_297	NULL	NULL
EPD0126_2_C08_298	NULL	NULL
EPD0126_2_D06_299	Brdt	Brdt<tm1a(EUCOMM)Wtsi>
EPD0126_2_F09_300	Mbtd1	Mbtd1<tm2a(EUCOMM)Wtsi>
EPD0126_4_D04_301	NULL	NULL
EPD0126_4_F03_302	NULL	NULL
EPD0127_3_B05_303	NULL	NULL
EPD0127_3_B11_304	NULL	NULL
EPD0127_4_E01_305	Trafd1	Trafd1<tm1a(EUCOMM)Wtsi>
EPD0127_5_C07_306	NULL	NULL
EPD0130_1_D07_307	NULL	NULL
EPD0028_3_D07_308	NULL	NULL
EUCJ0019c12_309	NULL	NULL
EPD0052_1_G08_310	Uhrf1	Uhrf1<tm1a(EUCOMM)Wtsi>
EUCE0054a05_311	NULL	NULL
EUCE0050e03_312	NULL	NULL
EUCE0050a02_313	NULL	NULL
EUCE0047a08_314	NULL	NULL
EUCE0027g03_315	NULL	NULL
EUCE0024b10_316	NULL	NULL
EUCE0009d01_317	NULL	NULL
EPD0040_2_C08_318	Nos2	Nos2<tm1a(EUCOMM)Wtsi>
EPD0105_5_E01_319	Dusp4	Dusp4<tm1a(EUCOMM)Wtsi>
EPD0089_4_F11_320	Aldh2	Aldh2<tm1a(EUCOMM)Wtsi>
EUCJ0004f10_321	NULL	NULL
EPD0089_1_A07_322	NULL	NULL
EPD0059_2_D02_323	Mtmr4	Mtmr4<tm1a(EUCOMM)Wtsi>
BL6J_1-control_324	unknown	unknown
BL6N_4-control_325	unknown	unknown
BL6J_2-control_326	unknown	unknown
BL6N_5-control_327	unknown	unknown
BL6N_6-control_328	unknown	unknown
BL6N_7-control_329	unknown	unknown
BL6J_3-control_330	unknown	unknown
BL6N_8-control_331	unknown	unknown
baseline Het_332	null	null
baseline Het_333	null	null
control_9999		
B6N-Snip1<tm1a(EUCOMM)Wtsi>/H_10001	Snip1	Snip1<tm1a(EUCOMM)Wtsi>
B6N-Cyb561<tm1a(EUCOMM)Wtsi>/H_10002	Cyb561	Cyb561<tm1a(EUCOMM)Wtsi>
129P2/OlaHsd-Tpcn1<tm1H>/H_10003	Tpcn1	Tpcn1<Gt(XG716)Byg>
C3H.Cg-Bfc/H_10005		Bfc
C3H.Cg-Ptk7<chz>/H_10006	Ptk7	Ptk7<chz>
C3H.Cg-Tulp3<hhkr>/H_10007	Tulp3	Tulp3<hhkr>
Deltagen_1228_10008	Adamts1	Adamts1<tm1Dgen>
Deltagen_1054_10009	Eltd1	Eltd1<tm1Dgen>
Deltagen__10010	Eltd1	Eltd1<tm1Dgen>
Deltagen_159_10011	Tpcn1	Tpcn1<tm1Dgen>
Deltagen_963_10012	Gpr56	Gpr56<tm1Dgen>
Deltagen_821_10013	Lphn2	Lphn2<tm1Dgen>
Deltagen_1229_10014	Adamts2	Adamts2<tm1Dgen>
Deltagen_3209_10015	Pak2	Pak2<tm1Dgen>
Deltagen_1368_10016	Prep	Prep<tm1Dgen>
Deltagen_365_10017	Ccr9	Ccr9<tm1Dgen>
Deltagen_43_10018	P2ry12	P2ry12<tm1Dgen>
Deltagen_901_10019	Kcnj15	Kcnj15<tm1Dgen>
Deltagen_881_10020	Trpc6	Trpc6<tm1Dgen>
Deltagen_1123_10021	Trpc4	Trpc4<tm1Dgen>
Deltagen_605_10022	Mc2r	Mc2r<tm1Dgen>
Deltagen_639_10023	Npy6r	Npy6r<tm1Dgen>
Deltagen_407_10024	Nr1d2	Nr1d2<tm1Dgen>
